person_age,person_income,person_home_ownership,loan_intent,loan_grade,loan_amnt,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_int_rate,person_emp_length
24,12960,MORTGAGE,HOMEIMPROVEMENT,B,3650,1,0.28,N,3,9.91,1.0
26,226000,MORTGAGE,HOMEIMPROVEMENT,B,20000,0,0.09,N,4,11.49,4.0
25,225000,MORTGAGE,HOMEIMPROVEMENT,E,30000,0,0.13,Y,2,19.909999999999997,0.0
26,213000,MORTGAGE,EDUCATION,B,35000,1,0.16,N,2,10.65,6.000000000000001
24,225000,RENT,MEDICAL,B,6000,0,0.03,N,4,10.848,0.0
24,12960,MORTGAGE,DEBTCONSOLIDATION,B,4500,1,0.35,N,4,11.83,0.0
23,12996,OWN,DEBTCONSOLIDATION,C,2400,1,0.18,Y,2,13.49,0.0
22,42000,RENT,MEDICAL,D,25000,1,0.6,Y,2,14.589999999999998,6.000000000000001
26,48000,RENT,EDUCATION,B,25000,1,0.52,N,4,9.64,2.0
25,12996,OWN,MEDICAL,D,3600,1,0.28,N,3,14.589999999999998,1.0
22,12996,OWN,EDUCATION,B,4750,1,0.37,N,3,10.118,1.0
25,42360,RENT,EDUCATION,E,25000,1,0.59,Y,3,16.35,1.0
21,49000,RENT,EDUCATION,B,25000,1,0.51,N,2,10.99,4.0
25,225000,MORTGAGE,VENTURE,F,25000,0,0.11,N,2,18.67,0.0
26,225000,RENT,EDUCATION,A,3000,0,0.01,N,4,9.32,1.0
23,225000,RENT,DEBTCONSOLIDATION,A,7500,0,0.03,N,2,8.63,8.0
26,225000,MORTGAGE,VENTURE,B,25000,0,0.11,N,2,10.08,2.0
22,49464,RENT,PERSONAL,B,25000,1,0.51,N,3,11.83,5.0
23,50000,RENT,DEBTCONSOLIDATION,A,25000,1,0.5,N,3,7.9,1.0
25,50000,RENT,HOMEIMPROVEMENT,A,25000,1,0.5,N,2,5.99,4.0
24,44000,RENT,DEBTCONSOLIDATION,D,25000,1,0.57,N,2,15.329999999999998,2.0
23,50000,RENT,VENTURE,B,25000,1,0.5,N,4,11.83,1.0
22,50004,RENT,VENTURE,B,25000,1,0.5,N,2,10.36,0.0
22,50004,RENT,VENTURE,C,25000,1,0.5,N,3,12.23,3.0000000000000004
22,52000,RENT,EDUCATION,B,25000,1,0.48,N,4,11.110000000000001,2.0
23,13200,OWN,DEBTCONSOLIDATION,A,4950,1,0.38,N,4,7.9,3.0000000000000004
24,220000,MORTGAGE,EDUCATION,B,25000,0,0.11,N,2,11.58,1.0
23,216000,MORTGAGE,DEBTCONSOLIDATION,A,21000,0,0.1,N,3,8.9,5.0
25,216000,MORTGAGE,EDUCATION,D,25000,0,0.12,N,3,16.07,2.0
26,216000,MORTGAGE,EDUCATION,C,20000,0,0.09,Y,2,14.22,10.0
23,215000,MORTGAGE,MEDICAL,C,35000,0,0.16,Y,3,14.789999999999997,7.0
26,215000,MORTGAGE,EDUCATION,A,12000,0,0.06,N,2,7.88,11.0
23,52000,RENT,PERSONAL,C,25000,1,0.48,N,2,13.22,1.0
26,46000,RENT,DEBTCONSOLIDATION,D,25000,1,0.54,N,4,11.86,2.0
22,53000,RENT,EDUCATION,C,25000,1,0.47,Y,4,13.43,5.0
26,47000,RENT,HOMEIMPROVEMENT,D,25000,1,0.53,Y,2,15.279999999999998,0.0
23,47000,RENT,VENTURE,E,25000,1,0.53,N,2,17.93,1.0
23,13200,MORTGAGE,EDUCATION,B,1400,0,0.11,N,4,9.25,2.0
21,13200,OWN,VENTURE,C,4500,1,0.34,N,4,12.98,0.0
22,210000,MORTGAGE,VENTURE,B,16000,0,0.08,N,4,10.62,6.000000000000001
26,210000,OWN,PERSONAL,B,22000,0,0.1,N,4,11.83,10.0
26,48000,RENT,VENTURE,F,25000,1,0.52,N,2,18.43,5.0
22,54996,RENT,EDUCATION,B,25000,1,0.45,N,4,10.816,6.000000000000001
24,55000,RENT,HOMEIMPROVEMENT,D,25000,1,0.45,Y,4,15.754000000000001,4.0
23,55000,RENT,EDUCATION,B,25000,1,0.45,N,3,11.36,4.0
23,55000,RENT,EDUCATION,D,25000,1,0.45,Y,3,15.65,4.0
24,55164,RENT,PERSONAL,C,25000,1,0.45,Y,4,13.22,8.0
26,56000,RENT,DEBTCONSOLIDATION,C,25000,1,0.45,N,2,12.87,4.0
24,203500,OWN,MEDICAL,C,20000,0,0.1,N,3,13.04,8.0
23,190000,MORTGAGE,EDUCATION,F,22000,1,0.12,Y,3,17.58,5.0
23,13920,OWN,PERSONAL,E,7750,1,0.56,N,4,17.04,2.0
24,60000,RENT,PERSONAL,B,25000,1,0.42,N,3,10.99,0.0
24,60000,RENT,PERSONAL,B,25000,1,0.42,N,3,11.110000000000001,2.0
26,54000,RENT,DEBTCONSOLIDATION,D,25000,1,0.46,Y,2,14.83,7.0
23,14000,OWN,DEBTCONSOLIDATION,D,4000,1,0.29,N,3,12.193999999999999,2.0
24,200000,RENT,MEDICAL,B,12000,0,0.06,N,2,12.69,8.0
24,200000,MORTGAGE,HOMEIMPROVEMENT,C,12000,0,0.06,N,2,13.49,8.0
21,200000,MORTGAGE,EDUCATION,C,16000,0,0.08,N,4,14.649999999999999,5.0
25,54000,RENT,HOMEIMPROVEMENT,E,25000,1,0.46,N,4,16.82,3.0000000000000004
23,60000,RENT,PERSONAL,C,25000,1,0.42,N,3,12.73,3.0000000000000004
23,60000,RENT,PERSONAL,B,25000,1,0.42,N,4,10.25,7.0
21,60000,RENT,EDUCATION,B,25000,1,0.42,N,4,10.99,6.000000000000001
25,61959,RENT,MEDICAL,C,25000,1,0.4,N,2,12.73,9.0
22,56400,RENT,HOMEIMPROVEMENT,D,25000,1,0.44,Y,3,14.96,2.0
23,200000,MORTGAGE,EDUCATION,A,28000,0,0.14,N,2,7.640000000000001,7.0
21,200000,MORTGAGE,DEBTCONSOLIDATION,C,25000,0,0.13,N,2,13.99,2.0
24,200000,MORTGAGE,VENTURE,A,24000,0,0.12,N,4,7.49,3.0000000000000004
26,200000,MORTGAGE,EDUCATION,C,15000,0,0.07,N,3,14.789999999999997,4.0
25,200000,MORTGAGE,DEBTCONSOLIDATION,B,15500,0,0.08,N,2,11.99,2.0
24,200000,RENT,EDUCATION,A,10000,0,0.05,N,4,8.49,8.0
24,66000,RENT,EDUCATION,B,25000,1,0.38,N,2,9.91,3.0000000000000004
22,66000,RENT,EDUCATION,C,25000,1,0.38,Y,3,13.06,6.000000000000001
22,200000,MORTGAGE,DEBTCONSOLIDATION,A,9000,0,0.04,N,4,6.17,6.000000000000001
25,200000,RENT,EDUCATION,D,18000,0,0.09,N,3,16.319999999999997,5.0
25,200000,MORTGAGE,VENTURE,B,12000,0,0.06,N,2,10.38,2.0
25,200000,MORTGAGE,PERSONAL,C,23050,0,0.12,N,3,14.35,9.0
24,200000,MORTGAGE,DEBTCONSOLIDATION,B,20000,0,0.1,N,3,11.207999999999998,8.0
24,60000,RENT,DEBTCONSOLIDATION,E,25000,1,0.42,Y,2,18.098000000000003,2.0
21,14400,OWN,HOMEIMPROVEMENT,B,3000,1,0.21,N,4,11.306,0.0
26,66996,RENT,PERSONAL,D,25000,1,0.37,Y,2,15.21,10.0
23,67000,RENT,EDUCATION,A,25000,1,0.37,N,4,7.9,3.0000000000000004
24,67000,RENT,VENTURE,B,25000,1,0.37,N,3,10.99,2.0
24,68000,RENT,PERSONAL,D,25000,1,0.37,Y,3,14.09,5.0
25,69000,RENT,PERSONAL,D,25000,1,0.36,N,2,17.49,9.0
25,200000,MORTGAGE,EDUCATION,B,12000,0,0.06,N,3,11.48,0.0
26,188000,MORTGAGE,VENTURE,E,20000,1,0.11,N,2,17.739999999999995,10.0
26,200000,MORTGAGE,PERSONAL,C,3000,0,0.01,N,3,13.92,4.0
25,69996,RENT,EDUCATION,D,25000,1,0.36,N,3,15.21,9.0
22,14400,OWN,MEDICAL,B,4000,1,0.28,N,3,10.99,2.0
24,70000,RENT,EDUCATION,B,25000,1,0.36,N,4,11.86,3.0000000000000004
24,14400,OWN,PERSONAL,A,6000,1,0.42,N,3,7.49,5.0
24,56100,RENT,MEDICAL,D,25000,1,0.38,N,4,16.489999999999995,7.0
25,66000,RENT,VENTURE,D,25000,1,0.38,Y,2,15.329999999999998,9.0
26,66000,RENT,HOMEIMPROVEMENT,B,25000,1,0.38,N,4,11.58,3.0000000000000004
25,14400,OWN,EDUCATION,A,5375,1,0.37,N,2,5.79,7.0
25,72612,RENT,MEDICAL,C,25000,1,0.34,N,2,13.11,9.0
23,74000,RENT,MEDICAL,B,25000,1,0.34,N,3,10.36,3.0000000000000004
25,75000,RENT,DEBTCONSOLIDATION,B,25000,1,0.33,N,2,10.36,9.0
24,192000,RENT,MEDICAL,C,22000,0,0.11,Y,2,13.618,0.0
25,191000,MORTGAGE,MEDICAL,B,10000,0,0.05,N,4,12.529999999999998,1.0
26,190300,MORTGAGE,PERSONAL,A,15000,0,0.08,N,3,7.540000000000001,5.0
22,190000,MORTGAGE,VENTURE,C,10000,0,0.05,N,3,13.726,3.0000000000000004
24,75000,RENT,EDUCATION,B,25000,1,0.33,N,4,10.25,4.0
22,71000,RENT,EDUCATION,D,25000,1,0.35,Y,4,15.95,1.0
26,190000,MORTGAGE,VENTURE,B,20000,0,0.11,N,4,12.18,3.0000000000000004
23,189996,OWN,PERSONAL,B,24000,0,0.13,N,3,11.83,0.0
23,78000,RENT,DEBTCONSOLIDATION,C,25000,1,0.32,Y,2,12.674,7.0
23,78000,RENT,VENTURE,B,25000,1,0.32,N,3,10.62,1.0
23,78504,RENT,VENTURE,B,25000,1,0.32,N,3,10.74,7.0
25,186000,OWN,VENTURE,B,10000,0,0.05,N,4,10.25,9.0
24,185000,MORTGAGE,EDUCATION,B,35000,0,0.19,N,2,12.42,7.6000000000000005
25,185000,RENT,VENTURE,C,15000,0,0.08,N,2,15.269999999999998,6.000000000000001
24,62050,RENT,MEDICAL,D,25000,1,0.34,Y,2,15.329999999999998,8.0
23,79416,RENT,VENTURE,D,25000,1,0.31,Y,2,15.21,7.0
21,14400,OWN,VENTURE,C,6250,1,0.43,N,2,14.719999999999997,4.0
24,79631,RENT,PERSONAL,D,25000,1,0.31,Y,2,15.699999999999998,8.0
24,79632,RENT,EDUCATION,C,25000,1,0.31,N,4,13.35,0.0
21,14400,MORTGAGE,MEDICAL,C,1500,0,0.1,N,4,12.338000000000003,0.0
24,80000,RENT,EDUCATION,A,25000,1,0.31,N,2,6.62,6.000000000000001
26,80000,RENT,DEBTCONSOLIDATION,C,25000,1,0.31,N,4,13.61,5.0
22,185000,RENT,MEDICAL,B,25000,0,0.14,N,2,11.36,4.0
26,185000,OWN,PERSONAL,A,5000,0,0.03,N,2,7.68,10.0
24,184992,RENT,HOMEIMPROVEMENT,D,22000,0,0.12,Y,4,14.46,7.0
23,184000,OWN,EDUCATION,B,2500,0,0.01,N,2,11.83,5.0
24,172000,MORTGAGE,DEBTCONSOLIDATION,C,20000,1,0.12,Y,4,13.47,6.000000000000001
24,183000,MORTGAGE,MEDICAL,B,20000,0,0.11,N,3,11.49,2.0
22,183000,MORTGAGE,EDUCATION,A,1000,0,0.01,N,2,7.710000000000001,3.0000000000000004
25,182952,MORTGAGE,PERSONAL,A,15000,0,0.08,N,3,6.029999999999999,9.0
23,74004,RENT,DEBTCONSOLIDATION,E,25000,1,0.34,N,4,16.35,7.0
26,74004,RENT,DEBTCONSOLIDATION,D,25000,1,0.34,Y,4,15.292000000000002,10.0
25,81000,RENT,DEBTCONSOLIDATION,A,25000,1,0.31,N,3,7.29,5.0
23,81600,RENT,MEDICAL,B,25000,1,0.31,N,3,11.36,1.0
24,82000,RENT,VENTURE,B,25000,0,0.3,N,2,10.25,8.0
24,83000,RENT,EDUCATION,B,25000,0,0.3,N,3,11.12,5.0
24,83000,RENT,PERSONAL,D,25000,0,0.3,Y,3,12.92,5.0
24,180000,RENT,EDUCATION,E,18000,0,0.1,Y,4,18.64,8.0
23,180000,MORTGAGE,PERSONAL,A,28000,0,0.16,N,3,7.509999999999999,8.0
23,14400,OWN,HOMEIMPROVEMENT,E,4000,1,0.28,N,2,16.7,2.0
22,14400,OWN,PERSONAL,B,2100,0,0.15,N,4,11.14,0.0
22,84500,RENT,PERSONAL,F,25000,0,0.3,N,4,18.3,6.000000000000001
24,85000,RENT,MEDICAL,B,25000,0,0.29,N,4,10.62,5.0
24,180000,MORTGAGE,VENTURE,B,14000,0,0.08,N,2,11.99,7.0
26,180000,MORTGAGE,VENTURE,B,12000,0,0.07,N,4,9.629999999999999,2.0
25,142800,MORTGAGE,MEDICAL,F,10000,1,0.06,N,4,18.249999999999996,9.0
23,14664,MORTGAGE,DEBTCONSOLIDATION,C,6000,1,0.41,N,4,12.652,0.0
24,87000,RENT,HOMEIMPROVEMENT,D,25000,0,0.29,N,3,14.84,8.0
24,75000,RENT,VENTURE,E,25000,1,0.33,Y,3,14.7,0.0
23,76000,RENT,DEBTCONSOLIDATION,D,25000,1,0.33,N,4,16.02,7.0
23,66215,RENT,MEDICAL,D,25000,1,0.32,Y,2,15.369999999999996,1.0
25,90000,RENT,MEDICAL,B,25000,0,0.28,N,4,10.99,9.0
21,15000,OWN,HOMEIMPROVEMENT,A,6200,1,0.41,N,2,7.9,0.0
26,180000,OWN,PERSONAL,B,25000,0,0.14,N,4,10.99,2.0
24,180000,OWN,EDUCATION,B,21000,0,0.12,N,3,11.48,8.0
25,180000,OWN,MEDICAL,C,20000,0,0.11,Y,4,14.26,9.0
26,180000,OWN,HOMEIMPROVEMENT,A,10000,0,0.06,N,4,8.0,0.0
25,180000,MORTGAGE,VENTURE,B,9950,0,0.06,N,2,11.26,3.0000000000000004
23,15000,OWN,MEDICAL,B,4475,1,0.3,N,4,10.807999999999998,7.0
23,78000,RENT,VENTURE,D,25000,1,0.32,Y,3,16.319999999999997,2.0
25,66300,RENT,MEDICAL,E,25000,1,0.32,Y,4,17.93,3.0000000000000004
23,90000,RENT,DEBTCONSOLIDATION,B,25000,0,0.28,N,3,11.36,0.0
24,79000,RENT,DEBTCONSOLIDATION,D,25000,1,0.32,Y,4,14.96,9.0
24,91800,RENT,PERSONAL,C,25000,0,0.27,Y,3,13.43,4.0
25,92000,RENT,HOMEIMPROVEMENT,B,25000,0,0.27,N,3,12.69,6.000000000000001
24,92000,RENT,VENTURE,C,25000,0,0.27,Y,4,12.73,1.0
23,93600,RENT,VENTURE,D,25000,0,0.27,N,4,15.21,3.0000000000000004
23,15000,MORTGAGE,MEDICAL,C,1750,0,0.12,Y,3,12.68,1.0
23,70550,RENT,MEDICAL,F,25000,1,0.3,Y,4,19.04,3.0000000000000004
25,83800,RENT,DEBTCONSOLIDATION,D,25000,1,0.3,Y,3,15.95,2.0
26,175000,MORTGAGE,VENTURE,A,2600,0,0.01,N,4,8.9,3.0000000000000004
25,175000,MORTGAGE,HOMEIMPROVEMENT,A,8000,0,0.05,N,2,7.9,10.0
22,175000,MORTGAGE,EDUCATION,B,18000,0,0.1,N,2,11.406,6.000000000000001
23,175000,MORTGAGE,PERSONAL,B,21000,0,0.12,N,3,11.99,8.0
23,15000,OWN,DEBTCONSOLIDATION,C,4000,1,0.27,N,4,13.98,4.0
23,15000,OWN,VENTURE,B,4600,1,0.31,N,2,10.99,4.0
22,88000,RENT,DEBTCONSOLIDATION,D,25000,1,0.28,Y,2,15.58,6.000000000000001
25,74800,RENT,MEDICAL,B,25000,1,0.28,N,2,10.99,2.0
25,88000,RENT,VENTURE,D,25000,1,0.28,N,4,14.96,0.0
25,15000,OWN,HOMEIMPROVEMENT,D,1750,0,0.12,Y,4,15.31,2.0
26,88000,RENT,VENTURE,D,25000,1,0.28,N,3,15.65,2.0
25,100000,RENT,VENTURE,B,25000,0,0.25,N,4,9.33,1.0
23,15000,MORTGAGE,PERSONAL,C,3600,1,0.24,N,4,13.47,0.0
24,102400,RENT,PERSONAL,B,25000,0,0.24,N,3,10.36,8.0
24,92000,RENT,HOMEIMPROVEMENT,E,25000,1,0.27,Y,4,16.77,1.0
23,93000,RENT,DEBTCONSOLIDATION,D,25000,1,0.27,Y,2,14.589999999999998,0.0
22,175000,RENT,VENTURE,C,3500,0,0.02,Y,2,11.91,6.000000000000001
23,175000,MORTGAGE,EDUCATION,A,7200,0,0.04,N,3,8.38,3.0000000000000004
25,174708,RENT,VENTURE,B,9000,0,0.05,N,3,10.59,9.0
25,174000,MORTGAGE,DEBTCONSOLIDATION,C,8800,0,0.05,N,3,14.27,2.0
26,174000,RENT,DEBTCONSOLIDATION,B,12000,0,0.07,N,4,12.529999999999998,8.0
25,162000,MORTGAGE,DEBTCONSOLIDATION,E,25000,1,0.15,Y,3,16.0,5.0
26,173467,MORTGAGE,VENTURE,B,10000,0,0.06,N,4,11.71,10.0
21,15000,OWN,HOMEIMPROVEMENT,C,3175,1,0.21,Y,3,11.54,0.0
25,96000,RENT,HOMEIMPROVEMENT,E,25000,1,0.26,Y,4,15.679999999999998,2.0
21,15120,MORTGAGE,EDUCATION,B,1500,0,0.1,N,2,10.59,0.0
24,97908,RENT,HOMEIMPROVEMENT,D,25000,1,0.26,Y,2,12.61,8.0
26,110000,RENT,PERSONAL,C,25000,0,0.23,Y,2,13.224,3.0000000000000004
23,15204,MORTGAGE,PERSONAL,A,2800,1,0.18,N,3,8.49,7.0
25,159600,RENT,PERSONAL,D,30000,1,0.19,Y,4,17.27,0.0
24,171500,RENT,DEBTCONSOLIDATION,A,18000,0,0.1,N,4,8.9,6.000000000000001
25,170004,MORTGAGE,MEDICAL,B,10000,0,0.06,N,4,11.110000000000001,3.0000000000000004
24,158004,RENT,HOMEIMPROVEMENT,D,25000,1,0.16,Y,2,14.589999999999998,0.0
26,170000,RENT,VENTURE,B,13000,0,0.08,N,3,12.42,0.0
24,83300,RENT,MEDICAL,D,25000,1,0.26,N,2,15.836000000000002,0.0
24,110000,RENT,HOMEIMPROVEMENT,D,25000,0,0.23,Y,2,15.699999999999998,7.0
22,15360,OWN,HOMEIMPROVEMENT,B,2500,1,0.16,N,3,12.529999999999998,7.0
25,134300,RENT,MEDICAL,D,5000,1,0.03,N,2,16.489999999999995,3.0000000000000004
25,170000,MORTGAGE,EDUCATION,A,20000,0,0.12,N,2,7.49,2.0
